역명,노선명,노선개수,대합실면적,승강장면적,지하상가 개수,역내편의점 개수,화장실개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,소화기 대수,스마트도서관 개수,평균승차총승객수,평균하차총승객수,평균역이용자수
공덕,5호선,2,9683,1696,22,1,1,11,11,70,22,88,1,31468,33064,27543
광나루,5호선,1,5765,2230,3,1,1,4,4,95,13,40,0,11263,12398,24374
광화문,5호선,1,7805,1635,2,1,1,4,4,0,88,40,0,9584,9178,64533
군자,5호선,2,6325,2729,2,0,1,8,8,178,13,24,1,8121,8338,23661
굽은다리,5호선,1,3012,1826,3,1,1,4,4,75,13,30,0,10756,7802,18763
길동,5호선,1,3302,1704,,1,1,3,3,123,13,33,1,26687,25623,16460
김포공항,5호선,2,7521,3486,12,1,2,8,8,24,42,44,0,15197,13779,18559
까치산,5호선,1,4337,2757,8,1,1,12,12,99,17,41,1,2859,3282,52311
답십리,5호선,1,5981,1876,6,1,1,4,4,221,13,38,1,8715,8677,28977
동대문역사문화공원,5호선,3,5001,2561,,0,1,5,5,0,9,45,0,11017,11130,6142
둔촌동,5호선,1,3560,1782,3,1,1,4,4,277,13,31,0,5694,5350,17393
마곡,5호선,1,6567,2337,,0,1,12,12,364,9,50,1,7144,6542,22148
마장,5호선,1,5147,1976,,1,1,4,4,69,9,36,1,13818,14033,11044
마천,5호선,1,2656,1809,,1,1,10,10,25,9,34,1,8426,8541,13686
마포,5호선,1,4758,1995,3,1,1,10,10,50,13,30,0,15738,16715,27852
명일,5호선,1,3284,1806,3,1,1,2,2,67,9,32,0,17213,17474,16967
목동,5호선,1,5364,2027,5,1,1,4,4,210,17,31,1,21421,22153,32453
미사,5호선,1,11044,2976,,0,2,22,22,820,,49,0,7153,7303,34687
발산,5호선,1,4432,2375,3,1,1,,,142,13,34,0,6718,6428,43574
방이,5호선,1,3925,1863,1,1,1,2,2,68,9,40,1,13903,13177,14456
방화,5호선,1,5100,2302,2,1,1,6,6,83,9,,0,18245,18327,13146
상일동,5호선,1,6198,2039,,1,1,18,18,241,9,36,1,6198,5853,27080
서대문,5호선,1,4887,1920,7,2,1,10,10,89,17,40,1,6141,6504,36573
송정,5호선,1,4206,2308,3,1,1,4,4,56,9,29,0,4754,4847,12051
신금호,5호선,1,2578,2438,,1,1,12,12,4,9,45,0,12654,10607,12646
신길,5호선,1,5432,3503,3,0,1,9,9,75,9,45,0,14772,14347,9601
신정,5호선,1,4825,1589,,1,1,10,10,12,9,28,0,6344,6217,23262
아차산,5호선,1,4818,1835,4,1,1,8,8,92,13,32,0,7114,6910,29120
애오개,5호선,1,4013,1833,,1,1,6,6,35,9,35,0,14089,15967,12561
양평,5호선,1,5891,2047,,0,1,8,8,96,9,29,1,26673,28290,14024
여의나루,5호선,1,6638,2322,1,1,1,11,11,49,56,28,0,4303,4238,30056
여의도,5호선,2,10197,2691,4,1,1,4,4,89,38,40,1,11169,11330,54963
영등포구청,5호선,2,20239,2813,2,1,1,14,14,40,9,47,0,3474,3460,8542
영등포시장,5호선,1,8386,3054,,1,1,8,8,63,9,51,0,20302,21375,22499
오금,5호선,2,5097,2570,,1,1,7,7,0,,37,0,5480,4839,6935
오목교,5호선,1,9946,2458,44,1,1,10,10,291,17,54,1,4440,5203,41677
올림픽공원,5호선,2,4377,2121,,1,1,4,4,0,38,30,0,14084,13943,10320
왕십리,5호선,2,9949,3268,10,1,1,8,8,32,26,46,0,5980,6057,9643
우장산,5호선,1,3634,1990,4,1,1,4,4,49,13,33,1,18241,18023,28028
을지로4가,5호선,2,9382,2110,5,1,1,11,11,0,,46,0,15213,15426,12038
장한평,5호선,1,6192,2260,4,1,1,4,4,262,13,36,0,19174,18764,36264
종로3가,5호선,3,6661,2526,1,1,1,10,10,0,,41,0,3697,3494,30640
천호,5호선,2,9920,3267,26,1,1,16,16,535,39,21,0,4291,4366,37938
청구,5호선,2,4014,1914,3,1,,,,28,9,31,0,6603,6297,7191
충정로,5호선,2,7547,1920,4,1,1,4,4,58,9,53,0,8150,7738,8658
하남검단산,5호선,1,9518,2633,,0,1,20,20,50,,84,0,4368,4342,12901
하남시청,5호선,1,6496,2354,,0,1,28,28,70,,45,0,7724,6834,15889
하남풍산,5호선,1,5956,2069,,0,1,24,24,82,,36,0,27115,25236,8711
행당,5호선,1,4686,2180,3,1,1,8,8,42,9,38,0,8525,8181,14559
화곡,5호선,1,7144,1982,6,1,1,4,4,196,17,28,0,17930,17396,52351
고려대,6호선,1,5721,2425,2,1,1,12,12,97,13,43,1,8922,8522,16706
공덕,6호선,2,5722,4567,12,1,1,6,6,0,21,,0,7918,6012,35326
광흥창,6호선,1,5693,1982,,1,1,9,9,65,9,30,0,5202,5331,17444
구산,6호선,1,1743,1661,2,1,1,4,4,126,9,20,0,8877,9243,13931
녹사평,6호선,1,7424,2042,,1,1,13,13,54,21,40,0,2689,2831,10533
대흥,6호선,1,7001,2146,1,1,1,6,6,22,9,29,0,9772,8946,18120
독바위,6호선,1,2545,1363,,1,1,8,8,7,9,23,0,8616,8686,5520
돌곶이,6호선,1,4274,2160,6,1,1,4,4,123,9,29,1,13815,14791,18719
동묘앞,6호선,2,11257,2743,1,1,1,12,12,29,17,42,0,14046,12569,17302
디지털미디어시티,6호선,1,5694,3295,6,1,2,8,8,214,13,46,1,15371,16416,28606
마포구청,6호선,1,6302,2121,4,1,2,12,12,415,9,33,0,2078,2091,26615
망원,6호선,1,3618,1902,4,1,1,2,2,221,18,28,0,7682,7124,31787
버티고개,6호선,1,3648,2629,,0,1,4,4,7,9,28,0,8375,7874,4170
보문,6호선,1,4603,1983,3,1,1,2,2,21,9,25,1,4680,4432,14807
봉화산,6호선,1,6837,2962,1,1,1,4,4,80,9,35,0,7642,6626,16250
불광,6호선,2,5039,1397,1,1,1,12,12,116,9,29,0,10181,11454,9112
삼각지,6호선,2,8675,2453,3,1,1,4,4,47,9,48,0,6317,5770,14268
상수,6호선,1,4181,2012,5,1,1,10,10,30,13,35,0,12298,11458,21635
상월곡,6호선,1,7146,2382,,1,1,6,6,49,9,32,0,11986,12254,12087
새절,6호선,1,4568,2421,2,1,1,4,4,176,9,36,0,1,0,23757
