역명,노선명,mean,max,min,노선개수
봉은사,9호선,33598,64399,6626,1
사평,9호선,6250,10825,991,1
삼성중앙,9호선,12136,20580,1685,1
삼전,9호선,12030,20431,3230,1
샛강,9호선,10337,46658,1271,1
석촌,9호선,14181,25890,3391,2
석촌고분,9호선,10908,19081,2859,1
선유도,9호선,13828,22330,2313,1
선정릉,9호선,17018,26328,2517,1
송파나루,9호선,9196,15137,2170,1
신논현,9호선,57370,99001,11413,1
신목동,9호선,6949,10876,1297,1
신반포,9호선,6425,17260,1050,1
신방화,9호선,12346,17623,3340,1
양천향교,9호선,16974,25551,3963,1
언주,9호선,18248,29481,2240,1
여의도,9호선,44921,107974,4303,2
염창,9호선,30646,41908,7799,1
올림픽공원,9호선,13737,48749,2428,2
종합운동장,9호선,8253,20397,1751,2
중앙보훈병원,9호선,16857,29135,2842,1
증미,9호선,12746,20485,2913,1
한성백제,9호선,4570,14163,1079,1
흑석,9호선,16392,31970,3714,1
