역명,노선명,mean,max,min,노선개수,대합실면적,승강장면적,지하상가 개수,역내편의점 개수,화장실개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,소화기 대수,스마트도서관 개수
양재,3호선,71274,99222,12883,1,3587.0,1968.0,6.0,1.0,1.0,2.0,2.0,93.0,26.0,54,1.0
연신내,3호선,64797,80572,28534,2,3277.0,1649.0,4.0,0.0,1.0,4.0,4.0,254.0,25.0,33,1.0
오금,3호선,11829,15087,3485,2,11009.0,2730.0,,0.0,2.0,15.0,15.0,179.0,9.0,65,0.0
옥수,3호선,17512,22187,6443,1,9537.0,1927.0,3.0,1.0,2.0,4.0,4.0,75.0,9.0,76,1.0
옥수,3호선,17512,22187,6443,1,9537.0,1927.0,3.0,1.0,2.0,4.0,4.0,75.0,9.0,76,1.0
을지로3가,3호선,22166,30413,5112,2,6720.0,1640.0,4.0,0.0,1.0,2.0,2.0,0.0,,,0.0
일원,3호선,20016,28405,4632,1,7554.0,3019.0,4.0,1.0,1.0,6.0,6.0,49.0,9.0,49,0.0
잠원,3호선,9580,13153,2598,1,3503.0,1815.0,,0.0,1.0,,,30.0,9.0,42,0.0
종로3가,3호선,23123,31069,8166,3,11269.0,1422.0,8.0,0.0,1.0,6.0,6.0,17.0,,63,0.0
지축,3호선,14116,18175,4773,1,645.0,938.0,,0.0,,,,70.0,9.0,19,0.0
충무로,3호선,9,40,1,2,0.0,3860.0,,0.0,,,,0.0,,17,0.0
학여울,3호선,5056,20265,890,1,4941.0,3270.0,,0.0,1.0,2.0,2.0,57.0,9.0,47,0.0
홍제,3호선,34104,52932,14682,1,7220.0,1876.0,2.0,0.0,2.0,,,119.0,18.0,57,1.0
홍제,3호선,34104,52932,14682,1,7220.0,1876.0,2.0,0.0,2.0,,,119.0,18.0,57,1.0
길음,4호선,41218,63815,16431,1,3742.0,2195.0,2.0,0.0,1.0,3.0,3.0,42.0,17.0,47,1.0
남태령,4호선,2591,19822,1035,1,4137.0,1949.0,,0.0,1.0,2.0,2.0,10.0,9.0,38,0.0
노원,4호선,54306,75249,19841,2,3223.0,2978.0,2.0,0.0,1.0,8.0,8.0,170.0,21.0,44,0.0
