화장실개수,소화기 대수,역내편의점 개수,지하상가 개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,스마트도서관 개수,id
1,32,1,5,10,10,82,13,1,228
1,42,1,22,15,15,353,21,1,229
2,35,1,8,19,19,20,17,0,230
1,41,1,9,13,13,113,13,0,231
2,42,0,3,0,0,50,9,0,232
1,39,1,18,8,8,249,13,0,233
1,42,1,6,6,6,105,9,1,234
1,40,1,10,6,6,83,13,0,235
1,47,1,11,6,6,55,9,0,236
1,34,1,3,4,4,47,13,0,237
1,36,1,7,10,10,120,13,1,238
1,25,1,3,11,11,26,9,0,239
1,48,1,5,6,6,106,21,1,240
1,40,1,2,7,7,210,9,0,241
1,47,1,4,12,12,10,13,0,242
1,40,1,5,12,12,57,13,0,243
1,35,1,2,4,4,173,13,0,244
1,49,1,0,6,6,229,13,0,245
1,49,1,3,16,16,67,13,0,246
1,37,1,1,8,8,30,9,1,247
2,0,1,9,23,23,0,17,0,248
0,30,0,0,4,4,0,0,0,249
1,34,1,1,14,14,38,9,0,250
1,13,0,0,0,0,110,0,0,251
1,26,1,4,10,10,258,13,0,252
1,42,1,2,4,4,73,9,0,253
1,39,1,10,6,6,145,13,1,254
1,34,1,1,6,6,440,9,1,255
1,27,1,7,6,6,376,17,1,256
1,27,1,7,6,6,376,17,1,257
1,84,1,7,16,16,113,26,1,258
1,62,1,5,8,8,176,13,0,259
1,39,1,8,6,6,125,13,1,260
1,38,1,8,10,10,19,17,0,261
1,31,1,3,12,12,221,9,0,262
1,32,1,3,5,5,260,9,0,263
1,45,0,0,7,7,0,0,0,264
1,30,1,4,4,4,52,13,0,265
1,40,1,3,6,6,103,13,1,266
1,39,1,0,2,2,61,9,0,267
1,36,1,0,8,8,166,9,0,268
2,36,1,0,8,8,70,9,0,269
1,29,1,0,5,5,180,13,0,270
1,29,1,0,13,13,43,9,0,271
1,30,1,1,0,0,111,9,0,272
1,25,1,1,4,4,114,9,0,273
1,28,1,0,0,0,36,9,0,274
1,27,1,0,0,0,55,9,0,275
0,0,0,0,12,12,0,0,0,276
1,82,1,25,5,5,250,17,0,277
1,26,1,2,8,8,147,13,2,278
0,30,0,0,0,0,0,0,1,279
1,84,1,0,26,4,30,0,0,280
1,58,0,0,4,2,30,0,0,281
4,108,7,0,32,4,30,0,0,282
1,102,1,0,18,3,30,0,0,283
1,81,1,0,12,3,40,0,1,284
2,80,1,0,16,4,30,0,0,285
2,52,2,0,18,3,0,0,0,286
2,101,1,0,16,6,30,0,1,287
2,74,1,0,22,4,30,0,0,288
2,101,1,0,34,5,30,0,1,289
2,102,1,0,21,7,30,0,0,290
0,0,1,0,0,0,0,9,0,291
1,90,1,0,32,3,40,0,0,292
1,51,1,0,14,4,40,0,0,293
1,44,1,0,24,4,30,0,0,294
1,78,1,0,18,4,40,0,0,295
1,8,1,0,22,4,10,0,0,296
1,0,1,1,14,4,115,9,0,297
1,67,1,0,12,4,30,0,0,298
2,0,1,2,25,5,204,9,0,299
1,0,1,0,6,5,200,9,0,300
1,92,1,0,13,4,40,0,0,301
1,85,1,0,12,4,20,0,0,302
1,0,1,0,6,5,40,9,0,303
1,135,1,0,22,5,30,0,0,304
1,65,1,0,10,4,30,0,0,305
1,57,1,0,14,4,40,0,0,306
1,62,0,0,22,4,30,0,0,307
1,62,1,0,27,4,54,0,1,308
1,81,1,0,28,4,0,0,0,309
2,61,2,0,16,3,40,0,1,310
1,53,1,0,12,4,30,0,0,311
2,0,1,0,14,3,200,42,0,312
2,35,1,2,18,6,20,0,0,313
1,0,1,1,10,5,210,9,1,314
1,66,1,0,18,3,30,0,0,315
1,0,1,0,10,3,200,9,0,316
1,56,1,0,16,4,40,0,0,317
